start_hour,off_hours,session_duration,mean_dwell,dwell_var,interevent_entropy,burstiness,n_files,nav_speed,backtrack_rate,dir_entropy,search_to_open,cred_searches,fin_searches,infra_searches,honey_touches,honey_frac,failed_logins,hesitation,label,profile
14,0,1331.1063098240693,135.69738188753294,16602.649948806433,0.9257019111219665,0.19761491017559227,9,0.4056775901478306,0.0,1.3005920075345054,0.2222222222222222,1,0,1,0,0.0,3,0.0,0,new_hire
10,0,1504.4973219237966,133.93247913160837,6422.8625503011,1.4066777022503074,-0.006906112116435821,10,0.3988042991215044,0.1111111111111111,1.3801087571572688,0.3,1,2,0,0,0.0,1,0.0,0,finance
11,0,2152.879934301775,84.87627861547907,1434.1357406498278,1.8675880934343585,-0.11453314244795204,21,0.5852625499102183,0.0,1.4042192131148634,0.23809523809523808,2,1,2,1,0.047619047619047616,4,44.931785927878884,0,admin
15,0,835.2253459418487,105.3360784751487,1999.5677172964186,1.3667110520552042,-0.17944156915328843,7,0.5028583029007382,0.09090909090909091,1.0335620542068176,0.2857142857142857,0,2,0,0,0.0,0,0.0,0,finance
12,0,841.8395748063681,52.4444242773832,1871.742766702027,1.117139444333211,0.2102684685070772,14,0.9978148154809766,0.0,1.8043713213036827,0.9285714285714286,9,3,1,8,0.5714285714285714,4,48.13977182013602,1,A2
10,0,1605.4854413210528,52.06862002622975,1432.0541439947258,1.4555874769275567,0.016212638153400283,29,1.0837843528299227,0.0,1.544520972142832,0.1724137931034483,2,3,0,15,0.5172413793103449,4,54.24825079844249,1,A2
19,1,524.6685148164484,65.87837520194216,2085.2187874653428,1.351783994289646,0.08287608593739552,6,0.6861475194979892,0.21428571428571427,1.5367224694372192,0.3333333333333333,1,0,1,0,0.0,1,0.0,0,developer
13,0,2481.767307713544,204.9991587864373,21267.1062976952,1.3801087571572686,0.016397295151387485,11,0.26593951735469473,0.05555555555555555,1.4280557692325653,0.18181818181818182,0,1,1,1,0.09090909090909091,1,209.37835216704525,0,finance
13,0,987.8358000128044,87.74468594859972,2455.9338932373544,1.5481155268740174,-0.08003156868160698,10,0.6073883938932186,0.125,1.1601862439785162,0.1,0,0,1,0,0.0,1,0.0,0,developer
12,0,1404.530202419966,149.27306422894304,9921.63114036561,1.3510394158370158,0.09406926636649014,7,0.2990323734415621,0.16666666666666666,1.690408472534179,0.42857142857142855,1,1,1,0,0.0,2,0.0,0,clerk
0,1,943.969520803529,66.65870244389956,4227.527945240834,0.8087022713195998,0.30776447430422177,13,0.8262978653548535,0.0,1.797797197863044,1.0769230769230769,10,3,1,6,0.46153846153846156,5,77.6670110247404,1,A1
13,0,626.4826177538923,67.24507153420348,936.338273619482,1.628619830332818,-0.03598989917220023,8,0.7661824708256525,0.0625,1.4402347497045995,0.25,1,1,0,0,0.0,2,0.0,0,clerk
4,1,1692.2643326856758,51.07393394397852,864.3292686991409,1.931749784600123,-0.13227582819787564,23,0.8154754392358418,0.05,1.2086767508024652,0.13043478260869565,1,1,1,1,0.043478260869565216,0,16.600813350610213,0,admin
15,0,503.97577782631095,77.08340599328625,445.8651245570709,1.3517839942896461,0.030412610673250875,6,0.7143200444130662,0.07142857142857142,1.6307991045856434,0.3333333333333333,0,0,2,1,0.16666666666666666,3,55.65021439370649,1,A3
12,0,998.4292757175396,164.19363820174638,3185.2439370407847,1.6769877743224173,-0.09100254785073508,3,0.18028317516094436,0.1111111111111111,1.6769877743224173,1.3333333333333333,1,1,2,0,0.0,0,0.0,0,clerk
13,0,1163.3568268790978,101.11478133789117,3523.597415446888,1.7438124571527578,-0.03961628711053182,9,0.46417400708314205,0.1111111111111111,1.377608360930055,0.2222222222222222,0,0,2,0,0.0,2,0.0,0,clerk
13,0,1174.1546987949534,27.327193284325382,389.48283115577027,1.565086131450851,-0.005094163201162372,29,1.4819171628625931,0.0,1.750999239725865,0.5862068965517241,10,6,1,10,0.3448275862068966,6,26.31097154859027,1,A1
16,0,744.4552836450204,131.31389094220748,8271.593074835939,1.4270610433807247,0.0323049319934369,5,0.4029792072011802,0.1111111111111111,1.1490596969706202,0.0,0,0,0,0,0.0,1,0.0,0,clerk
12,0,1384.0139733827518,49.57351764777623,1186.6804731479426,1.599013915123475,0.009019854372320715,25,1.0838040864094456,0.023809523809523808,1.19369335698598,0.08,1,0,1,2,0.08,1,26.727235756355462,0,admin
11,0,1209.237161728096,370.34031641886196,0.0,1.0027182645175161,0.1605320807230106,1,0.04961805830897161,0.3333333333333333,1.8310204811135162,3.0,1,1,1,0,0.0,1,0.0,0,clerk
17,0,907.4656214090054,9.89244053635957,46.32677786397902,1.6791593339867206,-0.11209504676944994,72,4.760510919733151,0.0,0.8078398610084049,0.027777777777777776,0,1,1,1,0.013888888888888888,1,3.4296420486384203,0,HN_backup_op
4,1,2841.203986346352,352.8981076597905,114230.71603350583,0.9608919796672832,0.25238110029177474,7,0.14782465532863737,0.2222222222222222,1.5654451070633328,0.2857142857142857,1,0,1,0,0.0,2,0.0,0,developer
12,0,1377.9585054098836,49.85648537414162,1482.7429288479834,1.620026188323947,-0.011434246463918338,26,1.1321095619900157,0.0,1.2291867849850484,0.11538461538461539,0,2,1,5,0.19230769230769232,1,77.78934387938241,1,A3
20,1,1241.1481163916858,70.1471065581766,1794.1610589763013,1.6696215701862998,-0.08344510731313046,13,0.6284503756631774,0.038461538461538464,1.57802640691937,0.3076923076923077,2,0,2,1,0.07692307692307693,4,74.86834823848297,0,HN_late_admin
15,0,880.2494060078594,32.5488064116293,369.544476213528,1.5297780965312917,0.005444228902591828,20,1.3632499968870022,0.0,1.8218327353993307,0.75,9,4,2,9,0.45,4,32.47469485519318,1,A2
12,0,1102.084588077134,39.54181234098028,770.9598799186103,1.3171099483157587,0.0868813987348982,23,1.2521724874201898,0.0,1.8140253902992514,0.6086956521739131,8,5,1,12,0.5217391304347826,8,46.137009938711884,1,A2
16,0,2766.4052772414393,237.87162023740044,25473.34683763692,1.3458461191625917,0.10994597410010032,10,0.216887961043184,0.21739130434782608,1.4346146483516948,0.2,0,1,1,0,0.0,1,0.0,0,finance
